"Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Two or more races (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.063273532237991","0.082578340009584","0.069718316607426",,"0.036005055390786","0.055303408282063",,"0.049310016355487",,"0.041875072124828","0.040648700889974","0.045412977172603","0.046093453088174","0.035665894677432","0.039762908219446","0.054995670056716","0.051073308288464"
"        Women (%)","0.267",,,,,,,"0.1734","0.1645","0.1599","0.1565","0.151960189343367","0.150960657868969","0.14527005005238","0.143495761741123","0.144968230094878","0.141517099711304","0.137830416415208","0.138505041146656","0.141907615480649","0.130946331669199","0.127640330580484","0.132574707387637","0.125136473695796","0.122780216803065","0.117772269868496","0.11365786066037","0.121308068150322","0.122245719564966","0.116670641242612","0.118396085565523","0.119287008772886","0.107121645120326","0.108506197546804","0.106228164111948","0.117361929351864","0.108735774436352","0.101237547298114","0.10254645092181","0.105157679388232","0.098662372089677","0.092510633162132","0.091587514455333","0.084073738555995","0.089836620251896","0.07955508213432","0.083257700446948","0.076527472890206","0.075362566611264","0.069588536631044","0.063301357036045","0.064590876011385","0.058991506666671","0.063202165420744","0.059373596463958","0.054149553985263","0.050637987479095","0.049519565325398","0.050527996327436","0.045528266713579","0.043628410053075"
"            By race / ethnicity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                White (%)",,,,,,,,"0.1609","0.1497","0.1456","0.1409","0.1415313225058","0.128438172809166","0.117806063618578","0.11751822262367","0.118416396087039","0.117996108190148","0.111881330779211","0.115897790024568","0.114575243833662","0.104820320442095","0.10228551867038","0.108493346785815","0.101097348351399","0.101235476142512","0.098201541798179","0.091287666662225","0.997533380203082","0.08924631701148","0.085224300828764","0.086705145540714","0.089057293287939","0.074497635854975","0.076460323291697","0.074891259881336","0.081541327687002","0.072655974707631","0.066889905584939","0.068842236813204","0.068834611521986","0.068734899077129","0.067249665620995","0.063082184664915","0.056029403819858","0.064115495236016","0.052904536260369","0.052800411632222","0.044765044172914","0.042416983567128","0.041138761887018","0.042240351445035","0.045609232904827","0.037601511216799","0.047455360881232","0.047702286525567","0.043292542568732","0.045797874607529","0.042674605379383","0.037836407193204","0.037563082358311","0.041320247760879"
"                Black (%)",,,,,,,,"0.2687","0.2762","0.2669","0.2655","0.226190476190476","0.204652745408782","0.22774630172003","0.220816824275528","0.228564035999362","0.199150506542161","0.200368001106226","0.183330547644785","0.200379411979714","0.177175357282964","0.171264548051461","0.15879549493057","0.162243531348884","0.143440087727931","0.143308507967627","0.134843611939865","0.13323433833888","0.140493584374879","0.130118770607307","0.144395950597321","0.136605152672893","0.14825240470842","0.144168376037555","0.113208646135114","0.128788458387893","0.125019944851983","0.134979327625151","0.122357740852492","0.129793135776536","0.111306301837149","0.090006196053203","0.098915414398674","0.094937175916321","0.10208231902712","0.089970918894353","0.117112017242271","0.087869672453011","0.111265622516755","0.081231557199412","0.066886683162272","0.06445832375147","0.069886704148982","0.065528484841617","0.076901190558839","0.065115674370034","0.042587556046363","0.044011134740488","0.056198714262624","0.046485210540704","0.028669935957509"
"                Hispanic (%)",,,,,,,,,,,,,"0.348486373387716","0.36396433995552","0.322352628820684","0.315730392060913","0.32275411682116","0.342816889181476","0.330589591465233","0.345261817157453","0.331565759160582","0.303981745646538","0.327557567932707","0.290592483174977","0.290319383086236","0.252205582552915","0.272118739697249","0.28086206685792","0.354374331823041","0.315539693015695","0.303130860742616","0.31054087895493","0.266098378314732","0.269135998018943","0.280989331784706","0.299987516861553","0.283182349988559","0.234149474989106","0.24980765345724","0.25955713607226","0.234756712721507","0.221124552203139","0.211860960871021","0.200553169889221","0.184732005260652","0.180591946813184","0.180593391764683","0.179586711807617","0.166608813501572","0.16121257114589","0.128227822661382","0.124161220676302","0.113442619737688","0.107700332496488","0.092604890294495","0.084041956865056","0.070277765045475","0.073838081975711","0.075272367916803","0.071127044338993","0.058587427196131"
"                Asian (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.048990732997415","0.026713747799054","0.026756902045892",,"0.051287331553132","0.029834177209373","0.045366060330122","0.049165762556554",,"0.041047128189207",,"0.02835082773471","0.028822391000447","0.028951697295473","0.048448838929265","0.03541427654653","0.015302682349991"
"                Pacific Islander",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                American Indian/Alaska Native (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.216882344206469","0.112847231503779","0.121388788017339",,"0.115510595388582","0.140738785909835","0.142028422727462","0.197213671364371",,"0.080213981511095","0.181288533907711","0.143179168655875","0.145976139389825","0.113278121825105","0.071323214771859",,
"                Two or more races (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.058417084394128","0.08216202095629","0.069689136303306",,"0.048271674832222","0.074943172546266","0.081946369889523","0.043491331988766",,"0.071978765316725","0.015311968935698","0.043877457625367","0.02175343947736","0.029341631667689","0.057693447696887",,"0.080396076676105"
"    By income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Lowest income quartile by family income (%)",,,,,,,,,,,"0.28",,,,,"0.288","0.281","0.285","0.282","0.281","0.27","0.264","0.272","0.265","0.259","0.271","0.254","0.255","0.272","0.25","0.243","0.259","0.2339999999","0.2289999999","0.207","0.2319999999","0.22","0.218","0.223","0.21","0.207","0.193","0.188","0.195","0.18","0.179","0.165","0.1669999999","0.1639999999","0.158","0.138","0.13","0.118","0.107","0.1159999999","0.099","0.0969999999",,,,
"        Second income quartile (%)",,,,,,,,,,,"0.212",,,,,"0.18","0.192","0.19","0.1889999999","0.185","0.181","0.178","0.183","0.178","0.165","0.147","0.148","0.166","0.154","0.162","0.151","0.155","0.129","0.127","0.1369999999","0.138","0.136","0.135","0.149","0.143","0.128","0.134","0.123","0.108","0.127","0.115","0.121","0.105","0.094","0.0969999999","0.089","0.09","0.087","0.088","0.076","0.074","0.073",,,,
"        Third income quartile (%)",,,,,,,,,,,"0.1169999999",,,,,"0.102","0.1009999999","0.104","0.105","0.115","0.107","0.111","0.102","0.105","0.099","0.083","0.08","0.08","0.0819999999","0.087","0.087","0.077","0.073","0.066","0.087","0.083","0.07","0.062","0.077","0.074","0.083","0.09","0.084","0.073","0.0819999999","0.071","0.063","0.064","0.054","0.054","0.051","0.048","0.0409999999","0.05","0.047","0.043","0.054",,,,
