"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"06/19/2010","AQS","420630005","1","0.045","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.045"
"06/25/2010","AQS","420630005","1","0.042","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.042"
"07/07/2010","AQS","420630005","1","0.042","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.042"
"07/13/2010","AQS","420630005","1","0.042","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.042"
"07/19/2010","AQS","420630005","1","0.042","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.042"
"07/25/2010","AQS","420630005","1","0.041","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.041"
"07/31/2010","AQS","420630005","1","0.041","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.041"
"08/06/2010","AQS","420630005","1","0.042","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.042"
"08/12/2010","AQS","420630005","1","0.041","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.041"
"08/18/2010","AQS","420630005","1","0.048","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.048"
"08/24/2010","AQS","420630005","1","0.043","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.043"
"09/11/2010","AQS","420630005","1","0.043","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.043"
"09/23/2010","AQS","420630005","1","0.042","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.042"
"09/29/2010","AQS","420630005","1","0.043","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.043"
"10/05/2010","AQS","420630005","1","0.044","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.044"
"10/11/2010","AQS","420630005","1","0.042","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.042"
"10/17/2010","AQS","420630005","1","0.044","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.044"
"10/23/2010","AQS","420630005","1","0.045","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.045"
"10/29/2010","AQS","420630005","1","0.045","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.045"
"11/04/2010","AQS","420630005","1","0.043","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.043"
"11/10/2010","AQS","420630005","1","0.115","ug/m3 LC",".","Shelocta","1","100.0000","14129","Lead (TSP) LC","26860","Indiana, PA","42","Pennsylvania","063","Indiana","40.652511","-79.292769",".","0.115"
